2.08 945.0
2.22 805.0
2.38 686.0
2.54 585.0
2.72 499.0
2.78 472.0
2.82 456.0
2.84 452.0
2.85 1600.0
2.89 1540.0
2.9 1530.0
2.91 1530.0
2.95 1470.0
2.96 1460.0
2.98 2000.0
3.03 1950.0
3.11 1790.0
3.16 1680.0
3.21 1600.0
3.22 1580.0
3.24 1790.0
3.29 1710.0
3.32 1660.0
3.55 1400.0
3.79 1220.0
4.06 1040.0
4.33 871.0
4.63 732.0
4.95 616.0
5.3 519.0
5.66 437.0
6.05 367.0
6.47 307.0
6.92 257.0
7.39 215.0
7.9 181.0
8.45 152.0
9.03 127.0
9.65 106.0
10.3 88.1
11.0 73.5
11.8 61.3
12.6 51.2
13.5 42.6
14.4 35.5
15.4 29.5
16.5 24.5
17.6 20.5
18.8 17.1
20.1 14.3
21.5 12.0
21.7 11.7
22.0 11.2
22.1 11.1
22.2 68.9
22.6 66.1
23.0 62.8
24.6 52.7
26.3 44.4
28.1 37.2
30.0 31.1
32.1 26.0
34.3 21.7
36.7 18.1
39.2 15.2
41.9 12.7
44.8 10.6
47.9 8.82
51.2 7.34
54.7 6.11
58.5 5.09
62.5 4.25
66.8 3.55
71.5 2.97
76.4 2.48
81.7 2.08
87.3 1.74
93.3 1.46
99.8 1.23
107.0 1.03
114.0 0.874
122.0 0.742
130.0 0.633
139.0 0.542
149.0 0.467
159.0 0.405
170.0 0.353
182.0 0.309
194.0 0.273
