#S	1	1
2.08E+00	9.78E-01	1
2.22E+00	8.51E-01	1
2.38E+00	7.48E-01	1
2.54E+00	6.66E-01	1
2.72E+00	6.01E-01	1
2.90E+00	5.49E-01	1
3.11E+00	5.07E-01	1
3.32E+00	4.75E-01	1
3.55E+00	4.49E-01	1
3.79E+00	4.29E-01	1
4.06E+00	4.14E-01	1
4.33E+00	4.03E-01	1
4.63E+00	3.94E-01	1
4.95E+00	3.88E-01	1
5.30E+00	3.84E-01	1
5.66E+00	3.82E-01	1
6.05E+00	3.81E-01	1
6.47E+00	3.81E-01	1
6.92E+00	3.81E-01	1
7.39E+00	3.82E-01	1
7.90E+00	3.84E-01	1
8.45E+00	3.85E-01	1
9.03E+00	3.87E-01	1
9.65E+00	3.89E-01	1
1.03E+01	3.91E-01	1
1.10E+01	3.93E-01	1
1.18E+01	3.94E-01	1
1.26E+01	3.96E-01	1
1.35E+01	3.97E-01	1
1.44E+01	3.98E-01	1
1.54E+01	3.98E-01	1
1.65E+01	3.98E-01	1
1.76E+01	3.98E-01	1
1.88E+01	3.98E-01	1
2.01E+01	3.97E-01	1
2.15E+01	3.95E-01	1
2.30E+01	3.94E-01	1
2.46E+01	3.92E-01	1
2.63E+01	3.89E-01	1
2.81E+01	3.87E-01	1
3.00E+01	3.83E-01	1
3.21E+01	3.80E-01	1
3.43E+01	3.76E-01	1
3.67E+01	3.72E-01	1
3.92E+01	3.68E-01	1
4.19E+01	3.64E-01	1
4.48E+01	3.59E-01	1
4.79E+01	3.54E-01	1
5.12E+01	3.49E-01	1
5.47E+01	3.44E-01	1
5.85E+01	3.38E-01	1
6.25E+01	3.32E-01	1
6.68E+01	3.27E-01	1
7.15E+01	3.21E-01	1
7.64E+01	3.15E-01	1
8.17E+01	3.09E-01	1
8.73E+01	3.03E-01	1
9.33E+01	2.97E-01	1
9.98E+01	2.91E-01	1
1.07E+02	2.85E-01	1
1.14E+02	2.79E-01	1
1.22E+02	2.73E-01	1
1.30E+02	2.67E-01	1
1.39E+02	2.61E-01	1
1.49E+02	2.55E-01	1
1.59E+02	2.49E-01	1
1.70E+02	2.43E-01	1
1.82E+02	2.38E-01	1
1.94E+02	2.32E-01	1
#S	2	2
2.08E+00	5.89E+00	2
2.22E+00	4.75E+00	2
2.38E+00	3.84E+00	2
2.54E+00	3.11E+00	2
2.72E+00	2.53E+00	2
2.90E+00	2.06E+00	2
3.11E+00	1.69E+00	2
3.32E+00	1.40E+00	2
3.55E+00	1.16E+00	2
3.79E+00	9.71E-01	2
4.06E+00	8.20E-01	2
4.33E+00	6.98E-01	2
4.63E+00	6.01E-01	2
4.95E+00	5.24E-01	2
5.30E+00	4.62E-01	2
5.66E+00	4.12E-01	2
6.05E+00	3.72E-01	2
6.47E+00	3.40E-01	2
6.92E+00	3.14E-01	2
7.39E+00	2.93E-01	2
7.90E+00	2.77E-01	2
8.45E+00	2.63E-01	2
9.03E+00	2.53E-01	2
9.65E+00	2.44E-01	2
1.03E+01	2.37E-01	2
1.10E+01	2.32E-01	2
1.18E+01	2.27E-01	2
1.26E+01	2.23E-01	2
1.35E+01	2.20E-01	2
1.44E+01	2.18E-01	2
1.54E+01	2.16E-01	2
1.65E+01	2.14E-01	2
1.76E+01	2.12E-01	2
1.88E+01	2.11E-01	2
2.01E+01	2.09E-01	2
2.15E+01	2.08E-01	2
2.30E+01	2.06E-01	2
2.46E+01	2.05E-01	2
2.63E+01	2.03E-01	2
2.81E+01	2.01E-01	2
3.00E+01	1.99E-01	2
3.21E+01	1.97E-01	2
3.43E+01	1.95E-01	2
3.67E+01	1.93E-01	2
3.92E+01	1.91E-01	2
4.19E+01	1.88E-01	2
4.48E+01	1.86E-01	2
4.79E+01	1.83E-01	2
5.12E+01	1.80E-01	2
5.47E+01	1.77E-01	2
5.85E+01	1.74E-01	2
6.25E+01	1.71E-01	2
6.68E+01	1.68E-01	2
7.15E+01	1.65E-01	2
7.64E+01	1.62E-01	2
8.17E+01	1.58E-01	2
8.73E+01	1.55E-01	2
9.33E+01	1.52E-01	2
9.98E+01	1.48E-01	2
1.07E+02	1.45E-01	2
1.14E+02	1.42E-01	2
1.22E+02	1.38E-01	2
1.30E+02	1.35E-01	2
1.39E+02	1.32E-01	2
1.49E+02	1.29E-01	2
1.59E+02	1.25E-01	2
1.70E+02	1.22E-01	2
1.82E+02	1.19E-01	2
1.94E+02	1.16E-01	2
#S	3	3
2.08E+00	2.10E+01	3
2.22E+00	1.71E+01	3
2.38E+00	1.39E+01	3
2.54E+00	1.13E+01	3
2.72E+00	9.21E+00	3
2.90E+00	7.52E+00	3
3.11E+00	6.12E+00	3
3.32E+00	4.96E+00	3
3.55E+00	4.04E+00	3
3.79E+00	3.29E+00	3
4.06E+00	2.69E+00	3
4.33E+00	2.21E+00	3
4.63E+00	1.82E+00	3
4.95E+00	1.51E+00	3
5.30E+00	1.25E+00	3
5.66E+00	1.05E+00	3
6.05E+00	8.85E-01	3
6.47E+00	7.52E-01	3
6.92E+00	6.43E-01	3
7.39E+00	5.56E-01	3
7.90E+00	4.84E-01	3
8.45E+00	4.26E-01	3
9.03E+00	3.79E-01	3
9.65E+00	3.40E-01	3
1.03E+01	3.08E-01	3
1.10E+01	2.82E-01	3
1.18E+01	2.61E-01	3
1.26E+01	2.44E-01	3
1.35E+01	2.29E-01	3
1.44E+01	2.18E-01	3
1.54E+01	2.08E-01	3
1.65E+01	2.00E-01	3
1.76E+01	1.93E-01	3
1.88E+01	1.87E-01	3
2.01E+01	1.82E-01	3
