2.08 1700.0
2.22 1430.0
2.38 1210.0
2.54 1010.0
2.72 849.0
2.9 708.0
3.11 588.0
3.32 487.0
3.55 403.0
3.79 334.0
4.06 277.0
4.33 229.0
4.63 190.0
4.95 157.0
5.3 130.0
5.66 108.0
6.05 88.9
6.47 73.1
6.92 60.2
7.39 49.6
7.9 40.8
8.45 33.6
9.03 27.7
9.65 22.6
10.3 18.5
11.0 15.1
11.8 12.4
12.6 10.2
13.5 8.35
14.4 6.86
15.4 5.64
16.5 4.65
17.6 3.84
18.8 3.18
20.1 2.63
21.5 2.19
23.0 1.83
24.6 1.53
26.3 1.29
28.1 1.08
30.0 0.916
32.1 0.778
34.3 0.666
36.7 0.575
39.2 0.5
41.9 0.438
44.8 0.388
47.9 0.346
51.2 0.312
54.7 0.284
58.5 0.26
62.5 0.24
66.8 0.224
71.5 0.21
76.4 0.198
81.7 0.188
87.3 0.179
93.3 0.171
99.8 0.164
107.0 0.158
114.0 0.153
122.0 0.148
130.0 0.143
139.0 0.139
149.0 0.135
159.0 0.131
170.0 0.128
182.0 0.124
194.0 0.121
