2.08 2090.0
2.22 1760.0
2.38 1480.0
2.54 1240.0
2.72 1050.0
2.9 882.0
3.11 739.0
3.32 616.0
3.55 514.0
3.79 429.0
4.06 359.0
4.33 300.0
4.63 251.0
4.95 209.0
5.3 174.0
5.66 145.0
6.05 120.0
6.47 100.0
6.92 83.7
7.39 70.0
7.9 58.6
8.45 49.1
9.03 41.0
9.47 35.8
9.61 34.3
9.65 33.9
9.71 257.0
9.85 246.0
10.3 215.0
11.0 180.0
11.8 152.0
12.6 128.0
13.5 107.0
14.4 89.9
15.4 75.1
16.5 62.7
17.6 52.3
18.8 43.7
20.1 36.4
21.5 30.2
23.0 25.1
24.6 20.9
26.3 17.4
28.1 14.4
30.0 11.9
32.1 9.88
34.3 8.19
36.7 6.8
39.2 5.64
41.9 4.69
44.8 3.88
47.9 3.22
51.2 2.68
54.7 2.23
58.5 1.86
62.5 1.56
66.8 1.31
71.5 1.1
76.4 0.931
81.7 0.79
87.3 0.673
93.3 0.576
99.8 0.497
107.0 0.431
114.0 0.377
122.0 0.332
130.0 0.294
139.0 0.263
149.0 0.237
159.0 0.215
170.0 0.197
182.0 0.181
194.0 0.168
