2.08 1580.0
2.22 1370.0
2.38 1200.0
2.54 1040.0
2.72 911.0
2.9 797.0
3.11 685.0
3.32 580.0
3.48 516.0
3.53 497.0
3.55 492.0
3.57 1050.0
3.62 1060.0
3.65 1070.0
3.71 1090.0
3.72 1090.0
3.75 1500.0
3.79 1480.0
3.8 1480.0
4.06 1330.0
4.22 1200.0
4.28 1150.0
4.3 1130.0
4.32 1290.0
4.33 1280.0
4.39 1240.0
4.63 1050.0
4.95 872.0
5.08 816.0
5.16 783.0
5.18 775.0
5.21 813.0
5.29 783.0
5.3 779.0
5.44 730.0
5.52 703.0
5.54 696.0
5.58 716.0
5.66 690.0
6.05 590.0
6.47 504.0
6.92 431.0
7.39 368.0
7.9 312.0
8.45 266.0
9.03 226.0
9.65 190.0
10.3 160.0
11.0 134.0
11.8 113.0
12.6 95.5
13.5 80.7
14.4 68.4
15.4 57.9
16.5 49.1
16.8 46.5
17.1 44.8
17.1 44.3
17.3 103.0
17.5 99.4
17.6 98.1
18.8 82.5
20.1 69.1
20.5 65.4
20.8 62.8
20.9 62.1
21.1 86.0
21.3 83.2
21.4 82.8
21.5 81.5
21.6 80.1
21.7 79.3
21.9 89.9
22.2 86.7
23.0 79.5
24.6 67.3
26.3 56.9
28.1 48.0
30.0 40.3
32.1 33.9
34.3 28.6
36.7 24.0
39.2 20.2
41.9 17.0
44.8 14.3
47.9 12.0
51.2 10.1
54.7 8.53
58.5 7.19
62.5 6.07
66.8 5.14
71.5 4.35
76.4 3.69
81.7 3.12
87.3 2.63
93.3 2.22
99.8 1.87
107.0 1.59
113.0 1.36
114.0 1.34
115.0 1.31
115.0 1.3
116.0 4.75
118.0 4.58
122.0 4.22
130.0 3.58
139.0 3.04
149.0 2.58
159.0 2.19
170.0 1.86
182.0 1.58
194.0 1.35
